	
locus	Mean	Lower_95%CI	Upper_95%CI	
Locus514	0.0375	0.0125	0.065	
Locus515	0.0268	0.0069	0.0507	
Locus516	0.021	0.0038	0.0514	
Locus517	0.0084	-0.008	0.029	
Locus518	0.0207	0.0035	0.0495	
Locus519	0.0399	0.0125	0.0642	
Locus520	0.0351	0.0121	0.0664	
Locus521	0.0095	-0.0077	0.0266	
Locus522	0.0216	0.0024	0.045	
Locus523	0.0072	-9e-04	0.0241	
Locus524	0.022	0.0013	0.0484	
Locus525	0.0192	8e-04	0.0421	
Locus526	0.0126	-0.0043	0.0368	
Locus527	0.0074	-0.0022	0.0213	
Locus528	0.0578	0.0288	0.0896	
Locus529	0.0154	6e-04	0.0395	
Locus530	0.0481	0.0225	0.0782	
Locus531	0.0131	-0.006	0.0381	
Locus532	0.0134	7e-04	0.0332	
Locus533	0.0138	0.0022	0.0331	
Locus534	0.0215	0.0037	0.0477	
Locus535	0.0186	0.004	0.0395	
Locus536	0.0228	0.0025	0.0545	
Locus537	0.0118	1e-04	0.0329	
Locus538	0.0314	0.0091	0.0596	
Locus539	0.0153	8e-04	0.0373	
Locus540	0.0179	0.0023	0.0358	
Locus541	0.0162	-0.0041	0.0451	
Locus542	0.0244	-0.0014	0.0598	
Locus543	0.0196	0.0037	0.039	
Locus544	0.0198	0.0024	0.0479	
Locus545	0.0135	-0.001	0.0378	
Locus546	0.0139	-0.0056	0.034	
Locus547	0.0273	0.0086	0.0542	
Locus548	0.0199	0.0024	0.0504	
Locus549	0.0464	0.0204	0.0753	
Locus550	0.0393	0.0116	0.076	
Locus551	0.0132	2e-04	0.0355	
Locus552	0.0354	0.0099	0.0635	
Locus553	0.0555	0.0223	0.091	
Locus554	0.0347	0.0088	0.0678	
Locus555	0.0438	0.0145	0.0819	
Locus556	0.0341	0.0107	0.0613	
Locus557	0.0371	0.0099	0.0691	
Locus558	0.0135	-0.0058	0.0462	
Locus559	0.0232	0.0069	0.0547	
Locus560	0.0193	-7e-04	0.0461	
Locus561	0.0216	0.0055	0.0458	
Locus562	0.0117	0.0013	0.0305	
Locus563	0.0289	0.0039	0.0511	
Locus564	0.0123	-0.0078	0.044	
Locus565	0.0149	0.002	0.0392	
Locus566	0.0172	-6e-04	0.0397	
Locus567	0.0216	0.0053	0.0406	
Locus568	0.0263	0.0075	0.0481	
Locus569	0.0342	0.0114	0.0595	
Locus570	0.0194	0.0031	0.0401	
Locus571	0.006	-0.0081	0.0262	
Locus572	0.023	5e-04	0.0446	
Locus573	0.0099	-2e-04	0.0279	
Locus574	0.011	1e-04	0.0288	
Locus575	0.006	-0.0016	0.0177	
Locus576	0.0239	0.0056	0.0522	
Locus577	0.0134	0.0012	0.0297	
Locus578	0.0258	0.0052	0.0511	
Locus579	0.0097	2e-04	0.0289	
Locus580	0.0138	-1e-04	0.0368	
Locus581	0.0256	0.0037	0.047	
Locus582	0.0269	0.0047	0.0522	
Locus583	0.0086	-0.0026	0.0238	
Locus584	0.0517	0.0183	0.085	
Locus585	0.0141	0.002	0.0366	
Locus586	0.0132	-0.0025	0.0356	
Locus587	0.0134	7e-04	0.0347	
Locus588	0.0374	0.0101	0.0743	
Locus589	0.033	0.0057	0.0609	
Locus590	0.0348	0.0114	0.0624	
Locus591	0.0164	-0.0024	0.041	
Locus592	0.0251	0.0032	0.0559	
Locus593	0.0225	0.0022	0.0499	
Locus594	0.0111	-0.0088	0.0314	
Locus595	0.0303	0.006	0.0623	
Locus596	0.021	-0.0012	0.0521	
Locus597	0.0062	-0.0093	0.0329	
Locus598	0.0171	4e-04	0.0399	
Locus599	0.0146	-0.0053	0.0418	
Locus600	0.0078	-0.0043	0.0235	
Locus601	0.0188	0.0018	0.0436	
Locus602	0.025	0.0064	0.052	
Locus603	0.0139	-0.0075	0.0397	
Locus604	0.0075	2e-04	0.0178	
Locus605	0.0199	0	0.0434	
Locus606	0.0272	0.0049	0.0545	
Locus607	0.051	0.0227	0.0889	
Locus608	0.0128	-0.0026	0.036	
Locus609	0.0194	0.0014	0.0449	
Locus610	0.0189	0.0026	0.0459	
Locus611	0.0186	-4e-04	0.0439	
Locus612	0.0155	-0.0018	0.0395	
Locus613	0.0228	0.0027	0.0454	
Locus614	0.0082	-0.0016	0.0244	
Locus615	0.0337	0.0137	0.0609	
Locus616	0.0195	-0.0037	0.0525	
Locus617	0.0192	0.004	0.048	
Locus618	0.0872	0.0536	0.123	
Locus619	0.0323	0.0082	0.0609	
Locus620	0.0093	-0.0033	0.0295	
Locus621	0.0149	2e-04	0.0358	
Locus622	0.0161	0.0017	0.0365	
Locus623	0.0093	-0.002	0.026	
Locus624	0.0301	0.0029	0.068	
Locus625	0.0099	-0.0037	0.0278	
Locus626	0.0383	0.0109	0.0757	
Locus627	0.0322	0.011	0.0572	
Locus628	0.0263	0.0039	0.0587	
Locus629	0.0533	0.032	0.0768	
Locus630	0.0164	-0.0019	0.0474	
Locus631	0.0125	-0.0026	0.0331	
Locus632	0.0078	-0.0012	0.0253	
Locus633	0.0078	-9e-04	0.02	
Locus634	0.0151	-0.0022	0.0403	
Locus635	0.0561	0.0345	0.0774	
Locus636	0.0242	0.0021	0.0557	
Locus637	0.0323	0.0128	0.06	
Locus638	0.0156	-0.0021	0.0401	
Locus639	0.0141	-0.0053	0.0408	
Locus640	0.0063	-0.0012	0.0177	
Locus641	0.0187	0.0011	0.0402	
Locus642	0.0135	-0.0094	0.0446	
Locus643	0.0169	-0.002	0.0405	
Locus644	0.0248	0.0024	0.0535	
Locus645	0.0196	-1e-04	0.0458	
Locus646	0.0115	3e-04	0.0349	
Locus647	0.0255	0.004	0.0561	
Locus648	0.0074	-8e-04	0.0232	
Locus649	0.038	0.0163	0.0634	
Locus650	0.0371	0.0093	0.0686	
Locus651	0.031	0.0094	0.0633	
Locus652	0.0187	0.0038	0.0391	
Locus653	0.0102	-4e-04	0.0337	
Locus654	0.0283	0.0049	0.0568	
Locus655	0.0154	-0.0067	0.0411	
Locus656	0.0204	0.0035	0.0498	
Locus657	0.0193	0.0032	0.0476	
Locus658	0.0474	0.0199	0.0814	
Locus659	0.0115	-9e-04	0.0361	
Locus660	0.0128	6e-04	0.0343	
Locus661	0.0205	0.0026	0.0427	
Locus662	0.0474	0.0182	0.0735	
Locus663	0.0237	0.0035	0.0522	
Locus664	0.0254	0.0053	0.0499	
Locus665	0.0253	0.0023	0.0561	
Locus666	0.037	0.0157	0.0598	
Locus667	0.0152	-0.0047	0.0427	
Locus668	0.0205	0.0026	0.0524	
Locus669	0.0143	-2e-04	0.0381	
Locus670	0.0248	0.0073	0.0535	
Locus671	0.0461	0.0221	0.0709	
Locus672	0.0259	0.003	0.0567	
Locus673	0.0154	-0.0083	0.0429	
Locus674	0.0085	-0.0017	0.0253	
Locus675	0.014	0	0.0363	
Locus676	0.0232	0.0053	0.0491	
Locus677	0.0757	0.043	0.1022	
Locus678	0.0077	-0.0097	0.0263	
Locus679	0.0343	0.0081	0.065	
Locus680	0.0319	0.0103	0.0589	
Locus681	0.0114	-9e-04	0.0262	
Locus682	0.0087	-0.0033	0.0312	
Locus683	0.0173	0.0027	0.0423	
Locus684	0.0351	0.0139	0.0607	
Locus685	0.0182	0.0028	0.0352	
Locus686	0.0177	-0.0036	0.0463	
Locus687	0.0133	-0.0011	0.0435	
Locus688	0.0087	-0.0014	0.0313	
Locus689	0.0247	0.0025	0.0555	
Locus690	0.0226	0.0048	0.0457	
Locus691	0.0107	-0.0076	0.0316	
Locus692	0.0311	0.0048	0.0595	
Locus693	0.0248	0.0037	0.0521	
Locus694	0.0436	0.0213	0.0787	
Locus695	0.0143	5e-04	0.0353	
Locus696	0.0204	0.0011	0.0444	
Locus697	0.0232	0.0015	0.0521	
Locus698	0.009	-0.0013	0.033	
Locus699	0.0191	-0.0026	0.0499	
Locus700	0.0253	0.0052	0.0581	
Locus701	0.0116	-0.006	0.0345	
Locus702	0.021	0.0021	0.048	
Locus703	0.0182	1e-04	0.0495	
Locus704	0.0343	0.0066	0.0693	
Locus705	0.0292	0.0052	0.0679	
Locus706	0.0173	0.0037	0.0407	
Locus707	0.0473	0.0231	0.0771	
Locus708	0.0415	0.0161	0.0692	
Locus709	0.0152	8e-04	0.0471	
Locus710	0.0276	0.0065	0.051	
Locus711	0.021	0.0035	0.054	
Locus712	0.0158	0	0.0424	
Locus713	0.0618	0.0326	0.0913	
Locus714	0.0106	-0.0039	0.0313	
Locus715	0.0127	-0.001	0.0296	
Locus716	0.008	-0.0024	0.0254	
Locus717	0.0202	0.0027	0.046	
Locus718	0.0265	0.0022	0.0734	
Locus719	0.0178	-0.0045	0.0447	
Locus720	0.0672	0.0359	0.0995	
Locus721	0.041	0.0189	0.0687	
Locus722	0.0238	8e-04	0.0553	
Locus723	0.0183	-0.0042	0.0472	
Locus724	0.0207	0.0026	0.0473	
Locus725	0.0181	0.0025	0.0396	
Locus726	0.01	-0.0041	0.0294	
Locus727	0.0422	0.0148	0.0709	
Locus728	0.0123	-0.002	0.0393	
Locus729	0.0438	0.0207	0.0771	
Locus730	0.024	0.0013	0.0558	
Locus731	0.0078	-0.0045	0.0303	
Locus732	0.054	0.0229	0.0913	
Locus733	0.0142	7e-04	0.0357	
Locus734	0.0087	-0.0017	0.0243	
Locus735	0.0281	0.006	0.0509	
Locus736	0.0169	-0.0017	0.0447	
Locus737	0.0089	0	0.0267	
Locus738	0.0117	-0.0083	0.0363	
Locus739	0.0228	0.0031	0.0557	
Locus740	0.0399	0.0115	0.0723	
Locus741	0.0182	-7e-04	0.0465	
Locus742	0.0206	0.0017	0.0491	
Locus743	0.0138	-0.0057	0.0405	
Locus744	0.0139	-0.0032	0.0372	
Locus745	0.0425	0.0135	0.0795	
Locus746	0.0316	0.0116	0.0632	
Locus747	0.0301	0.0029	0.0584	
Locus748	0.0385	0.0098	0.0744	
Locus749	0.0686	0.0408	0.0959	
Locus750	0.0154	-0.0055	0.048	
Locus751	0.0095	-0.0011	0.0338	
Locus752	0.0117	-0.0062	0.0305	
Locus753	0.0268	0.0062	0.0484	
Locus754	0.0257	0.0086	0.0519	
Locus755	0.0068	-0.0012	0.0221	
Locus756	0.0215	0.0029	0.0423	
Locus757	0.0109	-0.0046	0.0306	
Locus758	0.0194	0	0.045	
Locus759	0.0318	0.0124	0.0647	
Locus760	0.0272	0.0014	0.0616	
Locus761	0.0267	0.0028	0.0543	
Locus762	0.0147	5e-04	0.0377	
Locus763	0.0344	0.0167	0.0621	
Locus764	0.0201	0.0032	0.0454	
Locus765	0.0089	-7e-04	0.0244	
Locus766	0.0313	0.0096	0.0564	
Locus767	0.0148	-9e-04	0.0388	
Locus768	0.0074	-0.0017	0.023	
Locus769	0.035	0.0068	0.0673	
Locus770	0.0266	0.0047	0.0517	
Locus771	0.0417	0.0166	0.0827	
Locus772	0.0121	-0.0015	0.0322	
Locus773	0.0529	0.0191	0.0887	
Locus774	0.0157	0.0043	0.0333	
Locus775	0.038	0.0128	0.0697	
Locus776	0.0151	-0.0024	0.0439	
Locus777	0.0147	0.0021	0.034	
Locus778	0.0215	9e-04	0.0445	
Locus779	0.0074	-0.003	0.0242	
Locus780	0.0156	0.0011	0.0364	
Locus781	0.0192	0.0011	0.047	
Locus782	0.0119	1e-04	0.0302	
Locus783	0.0304	0.0065	0.059	
Locus784	0.0334	0.0114	0.0646	
Locus785	0.0213	-0.007	0.0534	
Locus786	0.0145	-0.0029	0.0394	
Locus787	0.0148	0.0022	0.0383	
Locus788	0.0353	0.01	0.0636	
Locus789	0.0084	-0.0013	0.0257	
Locus790	0.0642	0.0285	0.1072	
Locus791	0.0128	0.0021	0.0325	
Locus792	0.0506	0.0257	0.0799	
Locus793	0.0089	-0.0094	0.0322	
Locus794	0.0094	-1e-04	0.0281	
Locus795	0.025	0.0059	0.0495	
Locus796	0.014	-0.0016	0.0339	
Locus797	0.0191	-0.0025	0.0453	
Locus798	0.0198	0.0036	0.0411	
Locus799	0.0363	0.0164	0.0638	
Locus800	0.0347	0.0096	0.0682	
Locus801	0.0154	0.0012	0.0404	
Locus802	0.0423	0.0205	0.0685	
Locus803	0.0349	0.0116	0.0656	
Locus804	0.0185	0	0.0446	
Locus805	0.0098	-6e-04	0.0297	
Locus806	0.0251	0.0048	0.0528	
Locus807	0.0229	0.0031	0.0471	
Locus808	0.0228	-3e-04	0.0494	
Locus809	0.0467	0.0246	0.0733	
Locus810	0.0303	0.0097	0.0514	
Locus811	0.0428	0.0172	0.085	
Locus812	0.0228	0.0073	0.0499	
Locus813	0.0111	-0.0012	0.0271	
Locus814	0.0144	-0.0055	0.0413	
Locus815	0.0119	-1e-04	0.0367	
Locus816	0.057	0.029	0.0865	
Locus817	0.0166	7e-04	0.0378	
Locus818	0.0151	0.0012	0.0386	
Locus819	0.0256	0.0038	0.0529	
Locus820	0.0199	-0.0033	0.0473	
Locus821	0.0251	0.0024	0.058	
Locus822	0.0252	0.0065	0.0538	
Locus823	0.0207	-0.0034	0.0454	
Locus824	0.0445	0.0157	0.0754	
Locus825	0.0207	8e-04	0.051	
Locus826	0.0407	0.0131	0.084	
Locus827	0.0155	0.001	0.0413	
Locus828	0.0188	0.004	0.0425	
Locus829	0.0398	0.0166	0.0635	
Locus830	0.0247	0.0036	0.0556	
Locus831	0.0091	-0.0028	0.0266	
Locus832	0.0163	0.0023	0.0359	
Locus833	0.0302	0.0024	0.0613	
Locus834	0.0119	0	0.0369	
Locus835	0.0139	8e-04	0.0323	
Locus836	0.0764	0.0447	0.1129	
Locus837	0.0278	0.0067	0.0528	
Locus838	0.0254	0.0065	0.0531	
Locus839	0.01	-3e-04	0.0256	
Locus840	0.0151	-0.0038	0.038	
Locus841	0.0159	4e-04	0.0357	
Locus842	0.0239	0.0067	0.046	
Locus843	0.0239	0.004	0.0536	
Locus844	0.0127	0.001	0.0359	
Locus845	0.0122	0.0014	0.0314	
Locus846	0.0191	-0.0011	0.0546	
Locus847	0.0335	0.0108	0.0635	
Locus848	0.0114	-0.0066	0.0357	
Locus849	0.0376	0.0128	0.0611	
Locus850	0.0174	0.0016	0.0424	
Locus851	0.0167	-0.0048	0.0481	
Locus852	0.0148	0.0017	0.0364	
Locus853	0.0233	0.0012	0.051	
Locus854	0.0191	0.0041	0.0465	
Locus855	0.014	0.0016	0.0298	
Locus856	0.0314	-0.0013	0.074	
Locus857	0.0141	0.0013	0.0357	
Locus858	0.0876	0.0616	0.1208	
Locus859	0.0241	0.0044	0.0496	
Locus860	0.0319	0.0113	0.0587	
Locus861	0.0282	0.0067	0.0599	
Locus862	0.0205	0.0046	0.0566	
Locus863	0.0129	8e-04	0.0316	
Locus864	0.0255	0.006	0.0541	
Locus865	0.0084	-0.0102	0.0348	
Locus866	0.0295	0.0073	0.0564	
Locus867	0.0084	-0.0019	0.0292	
Locus868	0.0188	0.0017	0.0479	
Locus869	0.0172	-0.0029	0.0436	
Locus870	0.0205	0.0023	0.0458	
Locus871	0.0362	0.0105	0.0625	
Locus872	0.0234	0.0035	0.0458	
Locus873	0.0381	0.0155	0.0703	
Locus874	0.0224	0.0034	0.0457	
Locus875	0.0193	0	0.0475	
Locus876	0.0184	0.0042	0.0407	
Locus877	0.0357	0.0116	0.0703	
Locus878	0.0749	0.0364	0.1131	
Locus879	0.0057	-0.0046	0.0223	
Locus880	0.0114	0.001	0.0259	
Locus881	0.0326	0.01	0.0644	
Locus882	0.0206	0.0032	0.0484	
Locus883	0.0182	-0.0054	0.0472	
Locus884	0.0209	4e-04	0.0493	
Locus885	0.0107	-0.0014	0.0232	
Locus886	0.0115	0.0011	0.0329	
Locus887	0.0175	0.0023	0.0427	
Locus888	0.0176	7e-04	0.0396	
Locus889	0.0246	-0.0053	0.0535	
Locus890	0.0227	7e-04	0.0475	
Locus891	0.0339	0.0094	0.0628	
Locus892	0.0264	0.0091	0.0514	
Locus893	0.0243	0.003	0.0506	
Locus894	0.0088	0	0.0224	
Locus895	0.022	0.0024	0.0515	
Locus896	0.0467	0.0224	0.0795	
Locus897	0.0095	-0.0052	0.0289	
Locus898	0.0087	-6e-04	0.0268	
Locus899	0.0655	0.0296	0.0974	
Locus900	0.0222	-0.0014	0.0486	
Locus901	0.0142	-0.0055	0.0382	
Locus902	0.018	9e-04	0.0453	
Locus903	0.0175	0.0014	0.041	
Locus904	0.0207	0.0042	0.0446	
Locus905	0.0342	0.0109	0.0619	
Locus906	0.0426	0.0118	0.0707	
Locus907	0.0476	0.0188	0.0851	
Locus908	0.0281	0.0015	0.0628	
Locus909	0.0122	5e-04	0.0321	
Locus910	0.0098	-5e-04	0.0261	
Locus911	0.0116	-0.0043	0.0346	
Locus912	0.0397	0.0169	0.0694	
Locus913	0.0576	0.0284	0.0862	
Locus914	0.0183	0.0022	0.0407	
Locus915	0.0261	0.0035	0.0605	
Locus916	0.0269	-0.0018	0.064	
Locus917	0.0164	-5e-04	0.0415	
Locus918	0.0333	0.0103	0.0621	
Locus919	0.0182	0.0013	0.0442	
Locus920	0.0177	0.002	0.0431	
Locus921	0.0067	-0.0026	0.0225	
Locus922	0.0067	-5e-04	0.0194	
Locus923	0.0246	0.0042	0.0538	
Locus924	0.0119	3e-04	0.0247	
Locus925	0.0078	-0.0026	0.0355	
Locus926	0.0195	-0.0014	0.0523	
Locus927	0.0215	0.0019	0.047	
Locus928	0.0296	0.0068	0.0586	
Locus929	0.0127	-0.0015	0.0339	
Locus930	0.0132	0.0015	0.0321	
Locus931	0.0234	0.0048	0.052	
Locus932	0.0095	-0.001	0.0276	
Locus933	0.0149	-0.0013	0.0413	
Locus934	0.0781	0.0542	0.106	
Locus935	0.0091	-5e-04	0.0322	
Locus936	0.0385	0.0141	0.0744	
Locus937	0.0197	0.0037	0.045	
Locus938	0.0121	0.0023	0.0276	
Locus939	0.0127	-8e-04	0.0358	
Locus940	0.0239	0.0046	0.0455	
Locus941	0.0457	0.0139	0.0818	
Locus942	0.0967	0.0683	0.1207	
Locus943	0.0127	-4e-04	0.0347	
Locus944	0.0356	0.0142	0.0641	
Locus945	0.0112	-0.0012	0.0291	
Locus946	0.0344	0.0125	0.0602	
Locus947	0.0253	0.0036	0.0498	
Locus948	0.0291	0.0045	0.0592	
Locus949	0.015	-3e-04	0.0358	
Locus950	0.0415	0.0182	0.0767	
Locus951	0.0285	0.0035	0.0583	
Locus952	0.028	0.0068	0.0598	
Locus953	0.0434	0.0112	0.0763	
Locus954	0.0299	0.0089	0.0528	
Locus955	0.0285	1e-04	0.0627	
Locus956	0.0373	0.0084	0.0696	
Locus957	0.0354	0.0131	0.0659	
Locus958	0.0699	0.0455	0.1025	
Locus959	0.0066	-0.0012	0.0237	
Locus960	0.0232	-0.0034	0.0574	
Locus961	0.027	0.0068	0.0554	
Locus962	0.0481	0.0201	0.086	
Locus963	0.0164	0.0019	0.0452	
Locus964	0.0109	8e-04	0.0322	
Locus965	0.0337	0.0079	0.062	
Locus966	0.0249	0.0057	0.0443	
Locus967	0.0314	0.0102	0.0592	
Locus968	0.0223	0.0026	0.0551	
Locus969	0.0235	0.0053	0.0522	
Locus970	0.0393	0.0099	0.074	
Locus971	0.0376	0.0099	0.0745	
Locus972	0.0133	-0.0067	0.0456	
Locus973	0.0426	0.0167	0.07	
Locus974	0.0447	0.0174	0.0783	
Locus975	0.0223	7e-04	0.0555	
Locus976	0.0291	0.0085	0.0624	
Locus977	0.0124	0.001	0.0302	
Locus978	0.0382	0.0138	0.0673	
Locus979	0.0411	0.0131	0.0769	
Locus980	0.0164	-0.0018	0.0504	
Locus981	0.0533	0.025	0.0813	
Locus982	0.0363	0.0121	0.0681	
Locus983	0.0402	0.0093	0.0733	
Locus984	0.0235	-0.0025	0.0522	
Locus985	0.0117	-0.003	0.0279	
Locus986	0.0109	-0.0013	0.0355	
Locus987	0.0271	0.0078	0.0587	
Locus988	0.0372	0.0113	0.0772	
Locus989	0.0351	0.0162	0.0584	
Locus990	0.0456	0.0167	0.0845	
Locus991	0.0092	-1e-04	0.0284	
Locus992	0.0309	0.0073	0.0589	
Locus993	0.0073	-0.0023	0.0226	
Locus994	0.0358	0.0111	0.0692	
Locus995	0.0101	0.0013	0.0296	
Locus996	0.0354	0.0124	0.063	
Locus997	0.0141	0	0.0368	
Locus998	0.024	0.0028	0.0566	
Locus999	0.0292	0.0087	0.06	
Locus1000	0.0204	0.0015	0.0438	
Locus1001	0.0488	0.0208	0.0856	
Locus1002	0.0132	-9e-04	0.0372	
Locus1003	0.0332	0.0073	0.0637	
Locus1004	0.0173	0.0014	0.0376	
Locus1005	0.0212	1e-04	0.0495	
Locus1006	0.0072	-0.0024	0.0264	
Locus1007	0.0242	-0.0038	0.0616	
Locus1008	0.0201	0.0014	0.0452	
Locus1009	0.0163	7e-04	0.0466	
Locus1010	0.0156	-5e-04	0.0367	
Locus1011	0.0234	0.0037	0.0534	
Locus1012	0.026	0.0019	0.0543	
Locus1013	0.0769	0.0469	0.107	
Locus1014	0.0267	0.0048	0.0551	
Locus1015	0.0164	0.0011	0.0389	
Locus1016	0.021	0.0035	0.0455	
Locus1017	0.0076	-0.0018	0.0226	
Locus1018	0.0287	0.0042	0.0543	
Locus1019	0.0446	0.017	0.0756	
Locus1020	0.0713	0.0388	0.1131	
Locus1021	0.0171	0.0023	0.0398	
Locus1022	0.0102	9e-04	0.0274	
Locus1023	0.0235	0.0076	0.045	
Locus1024	0.0255	0.0033	0.0521	
Locus1025	0.0122	-0.0019	0.034	
Locus1026	0.0457	0.0235	0.0677	
Locus1027	0.0148	-0.0032	0.0429	
Locus1028	0.0374	0.0107	0.0708	
Locus1029	0.0292	0.0102	0.051	
Locus1030	0.0051	-0.0022	0.0202	
Locus1031	0.0184	0.0048	0.0405	
Locus1032	0.0395	0.0125	0.0741	
Locus1033	0.0307	0.0068	0.0665	
Locus1034	0.0175	-7e-04	0.0477	
Locus1035	0.019	-0.0025	0.0491	
Locus1036	0.0424	0.0144	0.0745	
Locus1037	0.0291	0.0079	0.0623	
Locus1038	0.0328	0.012	0.0666	
Locus1039	0.0308	0.0049	0.071	
Locus1040	0.0296	0.0043	0.0682	
Locus1041	0.0119	0.0015	0.0307	
Locus1042	0.0361	0.0126	0.0582	
Locus1043	0.0166	0.0033	0.041	
Locus1044	0.0348	0.011	0.0652	
Locus1045	0.0405	0.0167	0.0777	
Locus1046	0.0123	-0.0045	0.0313	
Locus1047	0.0527	0.0195	0.1021	
Locus1048	0.0205	0.0038	0.0402	
Locus1049	0.0161	0.0021	0.0408	
Locus1050	0.0353	0.0054	0.0711	
Locus1051	0.0354	0.0102	0.0659	
Locus1052	0.0248	0.0032	0.0517	
Locus1053	0.0362	0.014	0.0716	
Locus1054	0.0735	0.0378	0.1146	
Locus1055	0.0113	-0.0019	0.0281	
Locus1056	0.0067	-0.003	0.0194	
Locus1057	0.0162	-0.0018	0.039	
Locus1058	0.012	-0.0062	0.0321	
Locus1059	0.0174	-0.0048	0.0431	
Locus1060	0.0455	0.0212	0.0785	
Locus1061	0.0186	-3e-04	0.0436	
Locus1062	0.0328	0.0141	0.0597	
Locus1063	0.0698	0.0413	0.1149	
Locus1064	0.0378	0.0152	0.0673	
Locus1065	0.0158	-0.0023	0.0412	
Locus1066	0.0242	0.007	0.0547	
Locus1067	0.0333	0.0111	0.0637	
Locus1068	0.0183	3e-04	0.0431	
Locus1069	0.0143	0.0026	0.032	
Locus1070	0.0378	0.0116	0.0678	
Locus1071	0.0226	-7e-04	0.0456	
Locus1072	0.0224	0.0028	0.0489	
Locus1073	0.0351	0.0136	0.0621	
Locus1074	0.0326	0.0103	0.0584	
Locus1075	0.0369	0.0145	0.0692	
Locus1076	0.0041	-0.0031	0.0135	
Locus1077	0.0243	0.0047	0.0572	
Locus1078	0.0202	0.0014	0.0493	
Locus1079	0.0362	0.0109	0.0686	
Locus1080	0.0212	0.0026	0.0549	
Locus1081	0.0105	-0.0058	0.0323	
Locus1082	0.0281	0.001	0.0553	
Locus1083	0.0377	0.0133	0.0688	
Locus1084	0.0097	-0.0047	0.0296	
Locus1085	0.0497	0.0195	0.084	
Locus1086	0.011	-0.0017	0.0355	
Locus1087	0.0165	3e-04	0.0406	
Locus1088	0.0312	0.0104	0.0574	
Locus1089	0.0267	7e-04	0.0549	
Locus1090	0.0312	0.0104	0.0531	
Locus1091	0.0049	-0.0012	0.014	
Locus1092	0.0164	3e-04	0.0385	
Locus1093	0.0125	0.0018	0.0314	
Locus1094	0.0243	0.0032	0.0517	
Locus1095	0.0273	0.0048	0.0527	
Locus1096	0.0368	0.0087	0.0703	
Locus1097	0.0301	0.0111	0.0619	
Locus1098	0.0366	0.0159	0.0699	
Locus1099	0.0436	0.0189	0.0769	
Locus1100	0.0272	0.0061	0.0581	
Locus1101	0.01	-0.002	0.0236	
Locus1102	0.0189	-0.002	0.0421	
Locus1103	0.0252	0.0066	0.0525	
Locus1104	0.0497	0.0182	0.0813	
Locus1105	0.008	-9e-04	0.0211	
Locus1106	0.0108	9e-04	0.0324	
Locus1107	0.0252	0.0033	0.0498	
Locus1108	0.0145	8e-04	0.0409	
Locus1109	0.0189	0.0045	0.0352	
Locus1110	0.0337	0.0085	0.0693	
Locus1111	0.0604	0.0261	0.0928	
Locus1112	0.0283	0.0069	0.0573	
Locus1113	0.0157	0.0016	0.0358	
Locus1114	0.0215	0.0043	0.0456	
Locus1115	0.0273	0.0027	0.0611	
Locus1116	0.0977	0.0671	0.1263	
Locus1117	0.0251	0.0041	0.0566	
Locus1118	0.0263	0.0067	0.0474	
Locus1119	0.0683	0.0365	0.1044	
Locus1120	0.0204	0.0016	0.0446	
Locus1121	0.0654	0.0371	0.0989	
Locus1122	0.0143	0.0023	0.0354	
Locus1123	0.0191	0.0017	0.0487	
Locus1124	0.0342	0.0098	0.0621	
Locus1125	0.0146	0.0014	0.0407	
Locus1126	0.0718	0.0374	0.1118	
Locus1127	0.0144	-0.0017	0.0407	
Locus1128	0.0295	0.0101	0.0588	
Locus1129	0.0131	-0.0065	0.0379	
Locus1130	0.0252	0.005	0.053	
Locus1131	0.0446	0.0165	0.0724	
Locus1132	0.0224	-0.0019	0.047	
Locus1133	0.013	4e-04	0.0405	
Locus1134	0.0195	-3e-04	0.0563	
Locus1135	0.0321	0.0083	0.0656	
Locus1136	0.0135	-3e-04	0.0358	
Locus1137	0.0329	0.0058	0.0618	
Locus1138	0.0121	-8e-04	0.0317	
Locus1139	0.0196	-4e-04	0.0462	
Locus1140	0.0174	-0.0032	0.0492	
Locus1141	0.0262	0.0069	0.0588	
Locus1142	0.0308	0.0116	0.0553	
Locus1143	0.0159	0.0018	0.0353	
Locus1144	0.031	0.0075	0.0568	
Locus1145	0.0389	0.0154	0.0714	
Locus1146	0.012	-0.0018	0.0339	
Locus1147	0.0383	0.0089	0.0713	
Locus1148	0.0271	0.0044	0.0667	
Locus1149	0.0313	0.0102	0.0581	
Locus1150	0.0317	0.0084	0.0611	
Locus1151	0.0313	0.0025	0.066	
Locus1152	0.0375	0.0101	0.0682	
Locus1153	0.0218	0.0048	0.0496	
Locus1154	0.02	8e-04	0.0444	
Locus1155	0.0324	0.0056	0.0642	
Locus1156	0.029	0.008	0.0576	
Locus1157	0.0364	0.0105	0.0624	
Locus1158	0.0134	-0.0039	0.0443	
Locus1159	0.0165	7e-04	0.0383	
Locus1160	0.0091	-0.0097	0.0309	
Locus1161	0.0179	0	0.0411	
Locus1162	0.0193	-0.0011	0.0469	
Locus1163	0.0228	0.0034	0.0474	
Locus1164	0.0162	-0.0065	0.0489	
Locus1165	0.0152	-0.0071	0.0454	
Locus1166	0.0147	-0.0026	0.0361	
Locus1167	0.059	0.0303	0.092	
Locus1168	0.0446	0.0205	0.0783	
Locus1169	0.0242	4e-04	0.056	
Locus1170	0.0333	0.0055	0.0623	
