loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus858	 0.3778	 0.5655	 0.5878	 0.3018	 0.3822	 0.4006	 0.6297
Locus859	 0.0442	 0.0630	 0.0689	 0.0197	 0.2604	 0.0329	 0.2847
Locus860	 0.2483	 0.2846	 0.3091	 0.0483	 0.3137	 0.2471	 0.4833
Locus861	 0.0353	 0.0508	 0.0555	 0.0160	-0.0193	 0.0406	 0.0220
Locus862	 0.1268	 0.1543	 0.1693	 0.0315	 0.3557	 0.1093	 0.4261
Locus863	 0.0831	 0.0937	 0.1043	 0.0116	 0.5468	 0.0787	 0.5825
Locus864	 0.0732	 0.1057	 0.1149	 0.0351	 0.4058	 0.0585	 0.4406
Locus865	-0.0189	-0.0406	-0.0434	-0.0213	 0.5488	-0.0498	 0.5263
Locus866	-0.0081	-0.0141	-0.0153	-0.0060	 0.0021	-0.0141	-0.0119
Locus867	 0.0330	 0.0392	 0.0437	 0.0064	 0.5353	 0.0068	 0.5384
Locus868	 0.0164	 0.0255	 0.0278	 0.0092	 0.1313	 0.0089	 0.1391
Locus869	-0.0143	-0.0256	-0.0277	-0.0112	-0.0219	-0.0159	-0.0382
Locus870	 0.0165	 0.0291	 0.0313	 0.0128	 0.3375	 0.0048	 0.3407
Locus871	 0.0603	 0.1076	 0.1153	 0.0504	 0.3355	 0.0565	 0.3731
Locus872	 0.0179	 0.0287	 0.0311	 0.0109	 0.2939	 0.0065	 0.2985
Locus873	 0.1082	 0.2067	 0.2188	 0.1104	 0.2507	 0.1169	 0.3383
Locus874	 0.0516	 0.0799	 0.0866	 0.0299	 0.4718	 0.0245	 0.4848
Locus875	 0.0208	 0.0429	 0.0457	 0.0226	 0.2161	 0.0085	 0.2228
Locus876	 0.0767	 0.0869	 0.0968	 0.0111	 0.5567	 0.0544	 0.5808
Locus877	 0.0951	 0.1364	 0.1479	 0.0456	 0.2781	 0.0926	 0.3450
Locus878	 0.1379	 0.1809	 0.1968	 0.0499	-0.1604	 0.1692	 0.0359
Locus879	-0.0181	-0.0206	-0.0233	-0.0024	-0.0378	-0.0169	-0.0553
Locus880	 0.0666	 0.0797	 0.0883	 0.0140	 0.4272	 0.0537	 0.4580
Locus881	 0.0849	 0.1011	 0.1119	 0.0177	 0.1876	 0.0941	 0.2641
Locus882	 0.0599	 0.0670	 0.0750	 0.0076	 0.1311	 0.0678	 0.1900
Locus883	-0.0001	-0.0001	-0.0001	-0.0001	 0.3744	-0.0154	 0.3648
Locus884	 0.0039	 0.0060	 0.0065	 0.0020	 0.5751	-0.0228	 0.5655
Locus885	-0.0066	-0.0079	-0.0089	-0.0013	 0.2432	-0.0207	 0.2275
Locus886	 0.0240	 0.0285	 0.0318	 0.0046	 0.2173	 0.0184	 0.2317
Locus887	 0.0814	 0.0972	 0.1076	 0.0172	 0.6721	 0.0631	 0.6928
Locus888	 0.0377	 0.0551	 0.0602	 0.0181	 0.2212	 0.0293	 0.2441
Locus889	-0.0123	-0.0192	-0.0210	-0.0068	 0.0465	-0.0157	 0.0316
Locus890	 0.0089	 0.0170	 0.0183	 0.0082	 0.2874	-0.0035	 0.2849
Locus891	 0.0182	 0.0364	 0.0389	 0.0185	 0.1415	 0.0173	 0.1563
Locus892	 0.1023	 0.1217	 0.1343	 0.0215	 0.1143	 0.1148	 0.2160
Locus893	 0.0137	 0.0262	 0.0281	 0.0126	 0.4726	-0.0077	 0.4686
Locus894	 0.0379	 0.0445	 0.0496	 0.0068	 0.5838	 0.0117	 0.5887
Locus895	 0.0114	 0.0242	 0.0258	 0.0130	 0.3119	-0.0056	 0.3080
Locus896	 0.0915	 0.1267	 0.1380	 0.0387	-0.1567	 0.1064	-0.0336
Locus897	 0.0062	 0.0082	 0.0091	 0.0020	 0.2588	-0.0019	 0.2573
Locus898	-0.0050	-0.0058	-0.0065	-0.0008	 0.1185	-0.0092	 0.1104
Locus899	 0.3218	 0.4154	 0.4411	 0.1381	 0.6765	 0.3499	 0.7897
Locus900	 0.0234	 0.0425	 0.0457	 0.0197	 0.4786	 0.0109	 0.4843
Locus901	-0.0193	-0.0417	-0.0446	-0.0220	 0.2205	-0.0337	 0.1943
Locus902	 0.0725	 0.0890	 0.0983	 0.0178	 0.5241	 0.0557	 0.5506
Locus903	 0.0139	 0.0196	 0.0215	 0.0057	 0.4909	-0.0142	 0.4836
Locus904	 0.0287	 0.0342	 0.0381	 0.0056	 0.4570	 0.0163	 0.4659
Locus905	 0.1147	 0.1520	 0.1656	 0.0421	 0.1306	 0.1247	 0.2391
Locus906	 0.0782	 0.1517	 0.1611	 0.0797	 0.2938	 0.0562	 0.3335
