Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus361	-0.0083	-0.0498	 0.0292
Locus362	 0.0612	 0.0147	 0.1052
Locus363	 0.0675	 0.0052	 0.1411
Locus364	 0.0455	-0.0057	 0.1095
Locus365	 0.0143	-0.0462	 0.1074
Locus366	 0.0531	-0.0201	 0.1275
Locus367	 0.1063	 0.0649	 0.1623
Locus368	-0.0099	-0.0583	 0.0651
Locus369	 0.0456	-0.0416	 0.1976
Locus370	 0.0131	-0.0285	 0.0653
Locus371	 0.0073	-0.0318	 0.0512
Locus372	 0.0820	 0.0253	 0.1500
Locus373	-0.0071	-0.0642	 0.1540
Locus374	 0.0069	-0.0629	 0.0950
Locus375	 0.0425	-0.0071	 0.0827
Locus376	 0.0570	-0.0056	 0.1169
Locus377	 0.0256	-0.0294	 0.0819
Locus378	-0.0244	-0.0555	 0.0066
Locus379	 0.0135	-0.0129	 0.0465
Locus380	 0.0226	-0.0719	 0.1043
Locus381	 0.1063	 0.0552	 0.1545
Locus382	 0.0102	-0.0674	 0.1578
Locus383	 0.0796	 0.0004	 0.1614
Locus384	-0.0203	-0.0616	 0.0212
Locus385	 0.0652	-0.0054	 0.2089
Locus386	 0.0324	-0.0294	 0.1210
Locus387	 0.0227	-0.0453	 0.1111
Locus388	 0.0182	-0.0102	 0.0661
Locus389	 0.1325	 0.0762	 0.1711
Locus390	 0.0468	 0.0041	 0.0821
Locus391	 0.0166	-0.0217	 0.0520
Locus392	 0.0205	-0.0431	 0.0908
Locus393	 0.0091	-0.0173	 0.0472
Locus394	 0.0336	-0.0110	 0.0993
Locus395	-0.0042	-0.0593	 0.1242
Locus396	 0.0557	-0.0207	 0.1091
Locus397	-0.0093	-0.0498	 0.0354
Locus398	 0.0401	-0.0538	 0.1279
Locus399	 0.0272	-0.0425	 0.1411
Locus400	 0.0680	 0.0100	 0.1566
Locus401	 0.0151	-0.0432	 0.0827
